url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.0	nec	uninflected conjunction	urn:cite2:tabulae:ls.v1:n30605
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.1	multo	adjective: masculine dative singular positive	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.1	multo	adjective: neuter ablative singular positive	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.1	multo	adjective: neuter dative singular positive	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.1	multo	adjective: masculine ablative singular positive	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.2	post	uninflected preposition	urn:cite2:tabulae:ls.v1:n37194
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.3	Pylades		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.4	Strophii		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.5	filius	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n18185
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.6	ad	uninflected preposition	urn:cite2:tabulae:ls.v1:n665
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.7	Clytaemnestram		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.8	uenit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n50442
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.8	uenit	finite verb: third singular present indicative active	urn:cite2:tabulae:ls.v1:n50442
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	participle: perfect passive masculine vocative singular	urn:cite2:l3:composites.v1:do
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: masculine accusative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: masculine ablative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: feminine ablative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: neuter accusative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: feminine accusative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: neuter ablative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: neuter accusative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: masculine accusative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.10	se	pronoun: masculine ablative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.11	cum	uninflected preposition	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.12	affert		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.12_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.14	ossa	noun: neuter nominative plural	urn:cite2:tabulae:ls.v1:n33094
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.14	ossa	noun: neuter vocative plural	urn:cite2:tabulae:ls.v1:n33094
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.15	Orestis		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.16	condita	participle: perfect passive feminine nominative singular	urn:cite2:tabulae:ls.v1:n10029
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.16	condita	participle: perfect passive feminine ablative singular	urn:cite2:tabulae:ls.v1:n10029
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.16	condita	participle: perfect passive feminine vocative singular	urn:cite2:tabulae:ls.v1:n10029
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.16	condita	participle: perfect passive neuter nominative plural	urn:cite2:tabulae:ls.v1:n10029
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.16	condita	participle: perfect passive neuter accusative plural	urn:cite2:tabulae:ls.v1:n10029
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.16	condita	participle: perfect passive neuter vocative plural	urn:cite2:tabulae:ls.v1:n10029
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.17	esse	infinitive: present active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.17_0	;		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.18	quos	pronoun: masculine accusative plural	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.18	quos	pronoun: masculine accusative plural	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.19	Aegisthus	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n1181
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.20	laetabundus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.21	hospitio	noun: neuter dative singular	urn:cite2:tabulae:ls.v1:n21007
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.21	hospitio	noun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n21007
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.22	recepit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n40577
https://lingualatina.github.io/texts/browsable/hyginus/119a/	119a.2	119a.2.22_0	.		urn:cite2:tabulae:ls.v1:null
