url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.0	Alcinous		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.1	hospitio	noun: neuter dative singular	urn:cite2:tabulae:ls.v1:n21007
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.1	hospitio	noun: neuter ablative singular	urn:cite2:tabulae:ls.v1:n21007
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.2	liberaliter	adverb: positive degree	urn:cite2:tabulae:ls.v1:n26471
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.3	acceptum	participle: perfect passive masculine accusative singular	urn:cite2:tabulae:ls.v1:n363
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.3	acceptum	participle: perfect passive neuter nominative singular	urn:cite2:tabulae:ls.v1:n363
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.3	acceptum	participle: perfect passive neuter vocative singular	urn:cite2:tabulae:ls.v1:n363
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.5	decoratum		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.6	in	uninflected preposition	urn:cite2:tabulae:ls.v1:n22111
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.7	patriam	noun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n34131
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.8	Ithacam		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.9	dimisit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n14028
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.9_0	.		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.10	ira	noun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n24877
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.10	ira	noun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n24877
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.10	ira	noun: feminine vocative singular	urn:cite2:tabulae:ls.v1:n24877
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.11	Mercurii	noun: masculine nominative plural	urn:cite2:tabulae:ls.v1:n28776
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.11	Mercurii	noun: masculine genitive singular	urn:cite2:tabulae:ls.v1:n28776
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.11	Mercurii	noun: masculine vocative plural	urn:cite2:tabulae:ls.v1:n28776
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.12	iterum	adverb: positive degree	urn:cite2:tabulae:ls.v1:n25115
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.13	naufragium	noun: neuter nominative singular	urn:cite2:tabulae:ls.v1:n30501
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.13	naufragium	noun: neuter accusative singular	urn:cite2:tabulae:ls.v1:n30501
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.13	naufragium	noun: neuter vocative singular	urn:cite2:tabulae:ls.v1:n30501
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.14	fecit	finite verb: third singular perfect indicative active	urn:cite2:l3:composites.v1:ficio
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.14	fecit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.14_0	.		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.15	post	uninflected preposition	urn:cite2:tabulae:ls.v1:n37194
https://lingualatina.github.io/texts/browsable/hyginus/125a/	125a.19a	125a.19a.16	uicesimum		urn:cite2:tabulae:ls.v1:null
