url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.0	Ex	uninflected conjunction	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.1	Phoroneo		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.2	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.3	Cinna		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.4	nati	participle: perfect passive masculine nominative plural	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.4	nati	participle: perfect passive masculine genitive singular	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.4	nati	participle: perfect passive masculine vocative plural	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.4	nati	participle: perfect passive neuter genitive singular	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.5	Apis		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.6	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.7	Nioba		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.7_0	;		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.8	hanc	pronoun: feminine accusative singular	ls.n20640:hic
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.9	Iuppiter		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.10	mortalem	adjective: masculine accusative singular positive	ls.n29733:mortalis
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.10	mortalem	adjective: feminine accusative singular positive	ls.n29733:mortalis
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.11	primam	adjective: feminine accusative singular positive	ls.n38340:primus
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.12	compressit	finite verb: third singular perfect indicative active	ls.n9689:comprimo
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.12_0	;		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.13	ex	uninflected conjunction	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.14	ea	pronoun: feminine nominative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.14	ea	pronoun: feminine ablative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.14	ea	pronoun: neuter nominative plural	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.14	ea	pronoun: neuter accusative plural	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.15	natus	participle: perfect passive masculine nominative singular	ls.n30423:nascor
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.16	est	finite verb: third singular present indicative active	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.17	Argus		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.17_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.18	qui	pronoun: masculine nominative plural	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.18	qui	pronoun: masculine nominative plural	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.18	qui	pronoun: masculine nominative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.19	suo	adjective: masculine dative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.19	suo	adjective: masculine ablative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.19	suo	adjective: neuter dative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.19	suo	adjective: neuter ablative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.20	nomine	noun: neuter ablative singular	ls.n31131:nomen
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.21	Argos		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.22	oppidum	noun: neuter nominative singular	ls.n32796:oppidum
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.22	oppidum	noun: neuter accusative singular	ls.n32796:oppidum
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.22	oppidum	noun: neuter vocative singular	ls.n32796:oppidum
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.23	cognominauit	finite verb: third singular perfect indicative active	ls.n8934:cognomino
https://lingualatina.github.io/texts/browsable/hyginus/145a/	145a.1	145a.1.23_0	.		ls.null
