url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.0	Augeas	finite verb: second singular present subjunctive active	urn:cite2:tabulae:ls.v1:n4470
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	noun: masculine genitive singular	urn:cite2:tabulae:ls.v1:n44583
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	adjective: masculine dative plural positive	urn:cite2:tabulae:ls.v1:n44608
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	adjective: masculine ablative plural positive	urn:cite2:tabulae:ls.v1:n44608
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	adjective: feminine dative plural positive	urn:cite2:tabulae:ls.v1:n44608
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	adjective: feminine ablative plural positive	urn:cite2:tabulae:ls.v1:n44608
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	adjective: neuter dative plural positive	urn:cite2:tabulae:ls.v1:n44608
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.1	Solis	adjective: neuter ablative plural positive	urn:cite2:tabulae:ls.v1:n44608
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.2	et	uninflected conjunction	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.3	Nausidames		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.4	Amphidamantis		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.5	filiae	noun: feminine nominative plural	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.5	filiae	noun: feminine genitive singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.15	14pr.15.5	filiae	noun: feminine dative singular	urn:cite2:tabulae:ls.v1:n18173
