url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.0	Cum	uninflected preposition	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.1	Althaea		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.2	Thestii		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.3	filia	noun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.3	filia	noun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.3	filia	noun: feminine vocative singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.4	una	adjective: feminine nominative singular positive	urn:cite2:tabulae:ls.v1:n49871
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.4	una	adjective: feminine ablative singular positive	urn:cite2:tabulae:ls.v1:n49871
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.4	una	adjective: feminine vocative singular positive	urn:cite2:tabulae:ls.v1:n49871
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.4	una	adjective: neuter nominative plural positive	urn:cite2:tabulae:ls.v1:n49871
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.4	una	adjective: neuter accusative plural positive	urn:cite2:tabulae:ls.v1:n49871
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.4	una	adjective: neuter vocative plural positive	urn:cite2:tabulae:ls.v1:n49871
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.5	nocte	noun: feminine ablative singular	urn:cite2:tabulae:ls.v1:n31309
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.6	concubuerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n9942
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.6	concubuerunt	finite verb: third plural perfect indicative active	urn:cite2:tabulae:ls.v1:n9942
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.7	Oeneus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.8	et	uninflected conjunction	urn:cite2:tabulae:ls.v1:n16278
https://lingualatina.github.io/texts/browsable/hyginus/171a/	171a.1	171a.1.9	Mars	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n28088
