url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.0	Oeneus		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.1	Porthaonis		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.2	filius	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001100,Masculine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n18185
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.3	Aetoliae		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.4	rex	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001100,Masculine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n41625
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.4	rex	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001600,Masculine,Vocative,Singular)	urn:cite2:tabulae:ls.v1:n41625
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.5	cum	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.6	omnibus	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020001312,Masculine,Dative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n32583
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.6	omnibus	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020001512,Masculine,Ablative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n32583
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.6	omnibus	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020002312,Feminine,Dative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n32583
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.6	omnibus	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003312,Neuter,Dative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n32583
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.6	omnibus	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003512,Neuter,Ablative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n32583
https://lingualatina.github.io/texts/browsable/hyginus/172a/	172a.1	172a.1.7	diis	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020001300,Masculine,Dative,Plural)	urn:cite2:tabulae:ls.v1:n13573
