url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.0	Apollo	noun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n3063
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.0	Apollo	noun: masculine vocative singular	urn:cite2:tabulae:ls.v1:n3063
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.1	cum	uninflected preposition	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.2	Coronida		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.3	Phlegyae		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.4	filiam	noun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n18173
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.5	grauidam	adjective: feminine accusative singular positive	urn:cite2:tabulae:ls.v1:n19936
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.6	fecisset	finite verb: third singular pluperfect subjunctive active	urn:cite2:l3:composites.v1:ficio
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.6	fecisset	finite verb: third singular pluperfect subjunctive active	urn:cite2:tabulae:ls.v1:n17516
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.6_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.7	coruum		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.8	custodem	noun: masculine accusative singular	urn:cite2:tabulae:ls.v1:n12076
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.9	ei	pronoun: masculine dative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.9	ei	pronoun: feminine dative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.9	ei	pronoun: neuter dative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.9	ei	pronoun: masculine nominative plural	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.10	dedit	finite verb: third singular perfect indicative active	urn:cite2:tabulae:ls.v1:n14599
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.10	dedit	finite verb: third singular present indicative active	urn:cite2:tabulae:ls.v1:n12628
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.10_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.11	ne	uninflected conjunction	urn:cite2:tabulae:ls.v1:n30583
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.12	quis	pronoun: masculine nominative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.12	quis	pronoun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n40242
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.13	eam	pronoun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.13	eam	finite verb: first singular present subjunctive active	urn:cite2:tabulae:ls.v1:n15868
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.14	uiolaret	finite verb: third singular imperfect subjunctive active	urn:cite2:tabulae:ls.v1:n51027
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.14_0	.		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.15	cum	uninflected preposition	urn:cite2:tabulae:ls.v1:n11872
https://lingualatina.github.io/texts/browsable/hyginus/202a/	202a.1	202a.1.16	ea	pronoun: feminine nominative singular	urn:cite2:tabulae:ls.v1:n25029
