url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.0	Facem	noun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n17843
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.1	quam	pronoun: feminine accusative singular	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.2	sibi	pronoun: masculine dative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.2	sibi	pronoun: neuter dative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.2	sibi	pronoun: masculine dative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.2	sibi	pronoun: feminine dative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.2	sibi	pronoun: neuter dative plural	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.2	sibi	pronoun: feminine dative singular	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive feminine nominative singular	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive feminine ablative singular	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive feminine vocative singular	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive neuter nominative plural	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive neuter accusative plural	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive neuter vocative plural	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive feminine nominative singular	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive feminine ablative singular	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive feminine vocative singular	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive neuter nominative plural	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive neuter accusative plural	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.3	uisa	participle: perfect passive neuter vocative plural	urn:cite2:tabulae:ls.v1:n50883
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.4	est	finite verb: third singular present indicative active	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.5	parere	finite verb: second singular present subjunctive passive	urn:cite2:tabulae:ls.v1:n33902
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.5	parere	finite verb: second singular present indicative passive	urn:cite2:tabulae:ls.v1:n33879
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.5	parere	infinitive: present active	urn:cite2:tabulae:ls.v1:n33879
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.5	parere	finite verb: second singular present indicative passive	urn:cite2:tabulae:ls.v1:n33851
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.5	parere	finite verb: second singular present imperative passive	urn:cite2:tabulae:ls.v1:n33851
https://lingualatina.github.io/texts/browsable/hyginus/249_237/	249_237.1	249_237.1.5	parere	infinitive: present active	urn:cite2:tabulae:ls.v1:n33851
