url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.0	In	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.1	Sicilia		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.2	cum	uninflected preposition	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.3	Aetna		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.4	mons	noun: masculine nominative singular	ls.n29604:mons
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.4	mons	noun: masculine vocative singular	ls.n29604:mons
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.5	primum	adjective: masculine accusative singular positive	ls.n38340:primus
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.5	primum	adjective: neuter nominative singular positive	ls.n38340:primus
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.5	primum	adjective: neuter accusative singular positive	ls.n38340:primus
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.5	primum	adjective: neuter vocative singular positive	ls.n38340:primus
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.6	ardere	finite verb: second singular present indicative passive	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.6	ardere	finite verb: second singular present imperative passive	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.6	ardere	infinitive: present active	ls.n3492:ardeo
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.7	coepit	finite verb: third singular present indicative active	ls.n8883:coepio
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.7	coepit	finite verb: third singular perfect indicative active	ls.n8883:coepio
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.7_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.8	Damon		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.9	matrem	noun: feminine accusative singular	ls.n28181:mater
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.10	suam	adjective: feminine accusative singular positive	ls.n47174:suus
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.11	ex	uninflected conjunction	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.12	igne	noun: masculine ablative singular	ls.n21403:ignis
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.13	rapuit	finite verb: third singular perfect indicative active	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.13_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.14	item	adverb: positive degree	ls.n25106:item
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.15	Phintia		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.16	patrem	noun: masculine accusative singular	ls.n34096:pater
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.16_0	.		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.17	Aeneas		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.18	item	adverb: positive degree	ls.n25106:item
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.19	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.20	Ilio		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.21	Anchisem		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.22	patrem	noun: masculine accusative singular	ls.n34096:pater
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.23	umeris		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.24	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.25	Ascanium		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.26	filium	noun: masculine accusative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.27	ex	uninflected conjunction	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.28	incendio		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.29	eripuit	finite verb: third singular perfect indicative active	ls.n16146:eripio
https://lingualatina.github.io/texts/browsable/hyginus/254_237/	254_237.4t2	254_237.4t2.29_0	.		ls.null
