url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.0	undecimo	adjective: masculine dative singular positive	ls.n49768:undecimus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.0	undecimo	adjective: masculine ablative singular positive	ls.n49768:undecimus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.0	undecimo	adjective: neuter dative singular positive	ls.n49768:undecimus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.0	undecimo	adjective: neuter ablative singular positive	ls.n49768:undecimus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.1	fecerunt	finite verb: third plural perfect indicative active	ls.ficio
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.1	fecerunt	finite verb: third plural perfect indicative active	ls.n17516:facio
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.2	Argonautae	noun: masculine nominative plural	ls.n3577:Argonautae
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.2	Argonautae	noun: masculine genitive singular	ls.n3577:Argonautae
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.2	Argonautae	noun: masculine dative singular	ls.n3577:Argonautae
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.2	Argonautae	noun: masculine vocative plural	ls.n3577:Argonautae
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.3	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.4	Propontide		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.5	Cyzico		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.6	regi	noun: masculine dative singular	ls.n41625:rex1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.6	regi	noun: masculine ablative singular	ls.n41625:rex1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.7	una	adjective: feminine nominative singular positive	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.7	una	adjective: feminine ablative singular positive	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.7	una	adjective: feminine vocative singular positive	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.7	una	adjective: neuter nominative plural positive	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.7	una	adjective: neuter accusative plural positive	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.7	una	adjective: neuter vocative plural positive	ls.n49871:unus
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.8	cum	uninflected preposition	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.9	filio	noun: masculine dative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.9	filio	noun: masculine ablative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.9_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.10	quem	pronoun: masculine accusative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.10	quem	pronoun: feminine accusative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.10	quem	pronoun: masculine accusative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.11	Iason		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.12	imprudens	adjective: masculine nominative singular positive	ls.n22067:imprudens
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.12	imprudens	adjective: feminine nominative singular positive	ls.n22067:imprudens
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.12	imprudens	adjective: neuter nominative singular positive	ls.n22067:imprudens
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.12	imprudens	adjective: neuter accusative singular positive	ls.n22067:imprudens
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.13	noctu	noun: masculine ablative singular	ls.n31309:nox
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.14	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.15	litore	noun: neuter ablative singular	ls.n26851:litus3
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.16	occiderat	finite verb: third singular pluperfect indicative active	ls.n32088:occido1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.16_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.17	saltu	noun: masculine dative singular	ls.n42408:saltus1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.17	saltu	noun: masculine ablative singular	ls.n42408:saltus1
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.18	luctatione		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.19	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.20	iaculo	noun: neuter dative singular	ls.n25182:jaculum
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.20	iaculo	noun: neuter ablative singular	ls.n25182:jaculum
https://lingualatina.github.io/texts/browsable/hyginus/273_268/	273_268.9	273_268.9.20_0	.		ls.null
