url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.0	HERCULIS	noun: masculine genitive singular	ls.n20511:Hercules
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.1	ATHLA		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.2	DUODECIM	uninflected number	ls.n14920:duodecim
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.3	AB	uninflected preposition	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.4	EURYSTHEO		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5	IMPERATA	participle: perfect passive feminine nominative singular	ls.n21886:impero
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5	IMPERATA	participle: perfect passive feminine ablative singular	ls.n21886:impero
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5	IMPERATA	participle: perfect passive feminine vocative singular	ls.n21886:impero
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5	IMPERATA	participle: perfect passive neuter nominative plural	ls.n21886:impero
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5	IMPERATA	participle: perfect passive neuter accusative plural	ls.n21886:impero
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5	IMPERATA	participle: perfect passive neuter vocative plural	ls.n21886:impero
https://lingualatina.github.io/texts/browsable/hyginus/30pr/	30pr.title	30pr.title.5_0	.		ls.null
