url#passage#tokenid#token#form#lexeme
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.0	Minos		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.1	quod	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n40262
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.1	quod	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003401,Neuter,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.1	quod	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003101,Neuter,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n40103
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.2	Daedali	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020001100,Masculine,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n12263
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.2	Daedali	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001200,Masculine,Genitive,Singular)	urn:cite2:tabulae:ls.v1:n12263
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.2	Daedali	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020001600,Masculine,Vocative,Plural)	urn:cite2:tabulae:ls.v1:n12263
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.3	opera	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020003100,Neuter,Nominative,Plural)	urn:cite2:tabulae:ls.v1:n32865
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.3	opera	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020003400,Neuter,Accusative,Plural)	urn:cite2:tabulae:ls.v1:n32865
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.3	opera	ValidNounForm(urn:cite2:tabulae:morphforms.v1:020003600,Neuter,Vocative,Plural)	urn:cite2:tabulae:ls.v1:n32865
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.3	opera	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002100,Feminine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n32660
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.3	opera	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002500,Feminine,Ablative,Singular)	urn:cite2:tabulae:ls.v1:n32660
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.3	opera	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010002600,Feminine,Vocative,Singular)	urn:cite2:tabulae:ls.v1:n32660
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.4	multa	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010002112,Feminine,Nominative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.4	multa	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010002512,Feminine,Ablative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.4	multa	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003112,Neuter,Nominative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.4	multa	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003412,Neuter,Accusative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.4	multa	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003612,Neuter,Vocative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.4	multa	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010002612,Feminine,Vocative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n29945
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.5	sibi	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001301,Masculine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.5	sibi	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010003301,Neuter,Dative,Singular)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.5	sibi	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020001301,Masculine,Dative,Plural)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.5	sibi	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020002301,Feminine,Dative,Plural)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.5	sibi	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:020003301,Neuter,Dative,Plural)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.5	sibi	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010002301,Feminine,Dative,Singular)	urn:cite2:tabulae:ls.v1:n46498
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.6	incommoda	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010002112,Feminine,Nominative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n22454
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.6	incommoda	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010002512,Feminine,Ablative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n22454
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.6	incommoda	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:010002612,Feminine,Vocative,Singular,Positive)	urn:cite2:tabulae:ls.v1:n22454
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.6	incommoda	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003112,Neuter,Nominative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n22454
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.6	incommoda	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003412,Neuter,Accusative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n22454
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.6	incommoda	ValidAdjectiveForm(urn:cite2:tabulae:morphforms.v1:020003612,Neuter,Vocative,Plural,Positive)	urn:cite2:tabulae:ls.v1:n22454
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.7	acciderant		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.7_0	,		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.8	in	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n22111
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.9	Siciliam		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.10	est	ValidFiniteVerbForm(urn:cite2:tabulae:morphforms.v1:311110004,Third,Singular,Present,Indicative,Active)	urn:cite2:tabulae:ls.v1:n46529
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.11	eum	ValidPronounForm(urn:cite2:tabulae:morphforms.v1:010001401,Masculine,Accusative,Singular)	urn:cite2:tabulae:ls.v1:n25029
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.12	persecutus	ValidParticipleForm(urn:cite2:tabulae:morphforms.v1:014021105,Perfect,Passive,Masculine,Nominative,Singular)	urn:cite2:tabulae:ls.v1:n35491
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.14	a	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000B,Preposition)	urn:cite2:tabulae:ls.v1:n4
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.15	rege	ValidNounForm(urn:cite2:tabulae:morphforms.v1:010001500,Masculine,Ablative,Singular)	urn:cite2:tabulae:ls.v1:n41625
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.16	Cocalo		urn:cite2:tabulae:ls.v1:null
https://lingualatina.github.io/texts/browsable/hyginus/44pr/	44pr.1	44pr.1.17	ut	ValidUninflectedForm(urn:cite2:tabulae:morphforms.v1:00000000A,Conjunction)	urn:cite2:tabulae:ls.v1:n49975
