url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.0	at	uninflected conjunction	ls.n4220:at
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.1	Polynices		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.2	rogat	finite verb: third singular present indicative active	ls.n41838:rogo
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.3	Adrastum		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.4	ut	uninflected conjunction	ls.n49975:ut
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.5	sibi	pronoun: masculine dative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.5	sibi	pronoun: neuter dative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.5	sibi	pronoun: masculine dative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.5	sibi	pronoun: feminine dative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.5	sibi	pronoun: neuter dative plural	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.5	sibi	pronoun: feminine dative singular	ls.n46498:sui
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.6	exercitum	noun: masculine accusative singular	ls.n16824:exercitus2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.7	commodaret		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.8	ad	uninflected preposition	ls.n665:ad
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.9	paternum	adjective: masculine accusative singular positive	ls.n34101:paternus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.9	paternum	adjective: neuter nominative singular positive	ls.n34101:paternus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.9	paternum	adjective: neuter accusative singular positive	ls.n34101:paternus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.9	paternum	adjective: neuter vocative singular positive	ls.n34101:paternus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.10	regnum	noun: neuter nominative singular	ls.n40912:regnum
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.10	regnum	noun: neuter accusative singular	ls.n40912:regnum
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.10	regnum	noun: neuter vocative singular	ls.n40912:regnum
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.11	recuperandum	gerundive: masculine accusative singular	ls.n40575:recipero
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.11	recuperandum	gerundive: neuter nominative singular	ls.n40575:recipero
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.11	recuperandum	gerundive: neuter nominative singular	ls.n40575:recipero
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.11	recuperandum	gerundive: neuter accusative singular	ls.n40575:recipero
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.11	recuperandum	gerund: accusative	ls.n40575:recipero
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.12	a	uninflected preposition	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.13	fratre	noun: masculine ablative singular	ls.n18705:frater
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.13_0	;		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.14	cui	pronoun: masculine dative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.14	cui	pronoun: neuter dative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.14	cui	pronoun: feminine dative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.14	cui	pronoun: masculine dative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.14	cui	pronoun: neuter dative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.14	cui	pronoun: feminine dative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.15	Adrastus		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.16	non	adverb: positive degree	ls.n31151:non
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.17	tantum	adjective: masculine accusative singular positive	ls.n47473:tantus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.17	tantum	adjective: neuter nominative singular positive	ls.n47473:tantus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.17	tantum	adjective: neuter accusative singular positive	ls.n47473:tantus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.17	tantum	adjective: neuter vocative singular positive	ls.n47473:tantus
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.18	exercitum	noun: masculine accusative singular	ls.n16824:exercitus2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.19	dedit	finite verb: third singular perfect indicative active	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.19	dedit	finite verb: third singular present indicative active	ls.n12628:dedo
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.20	sed	uninflected conjunction	ls.n43291:sed1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.21	ipse	pronoun: masculine nominative singular	ls.n24872:ipse
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.22	cum	uninflected preposition	ls.n11872:cum1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.23	aliis	pronoun: masculine dative plural	ls.n1896:alius2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.23	aliis	pronoun: feminine dative plural	ls.n1896:alius2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.23	aliis	pronoun: neuter dative plural	ls.n1896:alius2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.23	aliis	pronoun: neuter ablative plural	ls.n1896:alius2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.23	aliis	pronoun: feminine ablative plural	ls.n1896:alius2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.23	aliis	pronoun: masculine ablative plural	ls.n1896:alius2
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.24	sex	uninflected number	ls.n44049:sex
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.25	ducibus	noun: masculine dative plural	ls.n15002:dux
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.25	ducibus	noun: masculine ablative plural	ls.n15002:dux
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.26	profectus	participle: perfect passive masculine nominative singular	ls.n38619:proficisco
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.26	profectus	participle: perfect passive masculine nominative singular	ls.n38618:proficio
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.27	est	finite verb: third singular present indicative active	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.27_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.28	quoniam	uninflected conjunction	ls.n40279:quoniam
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.29	Thebae		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.30	septem	uninflected number	ls.n43722:septem
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.31	portis	noun: feminine dative plural	ls.n37124:porta
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.31	portis	noun: feminine ablative plural	ls.n37124:porta
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.32	claudebantur	finite verb: third plural imperfect indicative passive	ls.n8535:claudo1
https://lingualatina.github.io/texts/browsable/hyginus/69b/	69b.6	69b.6.32_0	.		ls.null
