url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.0	Adrastus		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.1	Talai		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.2	filius	noun: masculine nominative singular	ls.n18185:filius
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.3	habuit	finite verb: third singular perfect indicative active	ls.n20077:habeo
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.4	filias	noun: feminine accusative plural	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.5	Deipylen		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.6	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.7	Argiam		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.7_0	;		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.8	huic	pronoun: masculine dative singular	ls.n20640:hic
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.8	huic	pronoun: neuter dative singular	ls.n20640:hic
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.8	huic	pronoun: feminine dative singular	ls.n20640:hic
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.9	ab	uninflected preposition	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.10	Apolline	noun: masculine ablative singular	ls.n3063:Apollo
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.11	responsum	participle: perfect passive masculine accusative singular	ls.n41387:respondeo
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.11	responsum	participle: perfect passive neuter nominative singular	ls.n41387:respondeo
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.11	responsum	participle: perfect passive neuter vocative singular	ls.n41387:respondeo
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.12	fuit	finite verb: third singular perfect indicative active	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.13	eum	pronoun: masculine accusative singular	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.14	filias	noun: feminine accusative plural	ls.n18173:filia
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.15	apro	noun: masculine dative singular	ls.n2976:aper1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.15	apro	noun: masculine ablative singular	ls.n2976:aper1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.16	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.17	leoni	noun: masculine dative singular	ls.n26265:leo2
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active masculine accusative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active neuter nominative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active neuter vocative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active masculine accusative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active neuter nominative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active neuter accusative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18	daturum	participle: future active neuter vocative singular	ls.n14599:do1
https://lingualatina.github.io/texts/browsable/hyginus/69c/	69c.1	69c.1.18_0	.		ls.null
